date,close,open,high,low,volume,MA5,EMA10,MA10,MA20,MA30,MA60,AR,BR,BIAS0,BIAS01,BIAS02,UL0,ML0,LL0,UL1,ML1,LL1,DMA,AMA,DPO,EMA20,EMA30,KValue,DValue,JValue,PSY,WVAD,WR,MR,SR,WS,MS,SS
2019-02-25,43.7,41.28,43.7,41.28,65713.78,43.7,43.7,43.7,43.7,43.7,43.7,100.0,100.0,0.0,0.0,0.0,43.7,43.7,43.7,38.35680277363121,43.7,38.35680277363121,0.0,0.0,0.0,43.7,43.7,66.66666666666666,55.55555555555554,33.333333333333314,50.0,1577.1307199999999,44.91,45.515,46.120000000000005,42.489999999999995,40.675,38.86
2019-02-26,41.8,43.3,44.37,41.49,61524.58,42.75,43.35454545454546,43.35454545454546,43.51904761904762,43.57741935483871,43.63770491803279,192.81767955801203,100.0,-4.347826086956535,-4.347826086956535,-4.347826086956535,44.650000000000006,42.75,44.650000000000006,38.772345366618715,43.51904761904762,38.772345366618715,0.0,0.0,-1.9000000000000057,43.51904761904762,43.57741935483871,50.05393743257817,53.72168284789641,61.057173678532905,50.0,404.03673499999934,43.44999999999999,45.45499999999999,47.459999999999994,40.35999999999999,39.275,38.190000000000005
2019-02-27,39.56,42.17,42.17,39.43,68469.1,41.68666666666667,42.664628099173555,42.664628099173555,43.14199546485261,43.31823100936525,43.5040096748186,76.70329670329718,30.316742081447707,-9.473684210526317,-9.473684210526317,-9.473684210526317,45.070760177326335,41.68666666666667,45.070760177326335,40.158018306009716,43.14199546485261,38.45860664310987,0.0,0.0,-4.140000000000001,43.14199546485261,43.31823100936525,34.24648460417493,47.229950099989246,73.19688109161787,50.0,-252.40670513381994,40.93,45.12,49.309999999999995,35.99,35.24,34.49
2019-02-28,40.84,39.96,40.98,39.5,55584.79,41.475,42.33287753568746,42.33287753568746,42.922757801533315,43.1583451377933,43.41666509531635,90.0199600798403,22.707423580786017,-6.544622425629289,-6.544622425629289,-6.544622425629289,44.49604286629634,41.475,44.49604286629634,41.98179891088282,42.922757801533315,37.9075284240349,0.0,0.0,-2.8599999999999994,42.922757801533315,43.1583451377933,32.34515977660248,42.26835332552699,62.114740423376006,50.0,8.99746520369011,41.65,45.48,49.309999999999995,36.71,35.6,34.49
2019-03-01,41.75,41.39,42.5,40.51,42298.12,41.53,42.2268998019261,42.2268998019261,42.81106658233966,43.067484161161474,43.36202033809286,95.4159592529705,53.0172413793102,-4.4622425629290685,-4.4622425629290685,-4.4622425629290685,44.24104407931704,41.53,44.24104407931704,42.517215865552494,42.81106658233966,37.70646124699211,0.0,0.0,-1.9500000000000028,42.81106658233966,43.067484161161474,37.21796076874713,40.5848891399337,47.31874588230684,50.0,43.927193951896726,43.824999999999996,46.567499999999995,49.309999999999995,38.885,36.6875,34.49
2019-03-04,41.8,41.85,43.79,41.0,68567.44,41.15,42.14928165612135,42.14928165612135,42.71477452687874,42.98571098947364,43.31080655651605,112.16617210682438,82.89738430583472,-4.347826086956535,-4.347826086956535,-4.347826086956535,44.058002215061435,41.574999999999996,44.058002215061435,43.21881652257648,42.71477452687874,38.10165324591626,0.0,0.0,-1.9000000000000057,42.71477452687874,42.98571098947364,40.803876679839505,40.657884986568966,40.36590160002788,50.0,31.69076628607839,44.76499999999999,47.037499999999994,49.309999999999995,39.824999999999996,37.1575,34.49
2019-03-05,41.2,41.66,42.79,40.05,81590.84,41.029999999999994,41.97668499137202,41.97668499137202,42.57051028622362,42.87050382886244,43.24159978417126,104.07185628742484,107.6923076923074,-3.6257309941520406,-5.720823798627002,-5.720823798627002,43.83517454023397,41.521428571428565,43.83517454023397,43.78000794313534,42.57051028622362,38.38803613312,0.0,0.0,-2.5,42.57051028622362,42.87050382886244,39.145904291283045,40.15389142147366,42.16986568185489,50.0,-19.800139512870615,43.190000000000005,46.25,49.309999999999995,38.25000000000001,36.370000000000005,34.49
2019-03-06,40.67,41.2,41.28,39.88,87743.35,41.251999999999995,41.73910590203165,41.73910590203165,42.38950930658328,42.72853583990358,43.157285037149244,90.69286452947284,95.7161981258365,-2.438829361906283,-6.933638443935928,-6.933638443935928,43.65138100510624,41.415,43.65138100510624,44.74702042833814,42.38950930658328,38.90978135494051,0.0,0.0,-2.0799999999999983,42.38950930658328,42.72853583990358,34.46434105248831,38.25737463181187,45.843441790458996,50.0,-116.97649814519066,41.82,44.985,48.15,37.46,36.265,35.07
2019-03-07,40.09,40.61,40.65,39.55,61117.96,41.102000000000004,41.439268465298625,41.439268465298625,42.170508420242015,42.55830772120012,43.056718314619765,82.10624417520958,82.25255972696229,-3.339361060880043,-8.260869565217389,-8.260869565217389,43.53477339660955,41.26777777777777,43.53477339660955,45.85782575780697,42.170508420242015,39.422137760397526,0.0,0.0,-1.596666666666664,42.170508420242015,42.55830772120012,27.429668663872125,34.64813930916529,49.08508059975161,50.0,-181.0247802502698,40.69,44.385,48.08,36.4,35.805,35.21
2019-03-08,40.76,39.5,42.35,39.0,86724.07,40.903999999999996,41.3157651079716,41.3157651079716,42.03617428498087,42.44228786821947,42.981416074796165,103.82902938557442,72.75479313824398,-1.854081386949201,-6.7276887871853654,-6.7276887871853654,43.38913351339184,41.217,43.38913351339184,47.01249500189988,42.03617428498087,39.81223389552325,0.0,0.0,-0.7150000000000034,42.03617428498087,42.44228786821947,29.211337147733488,32.835871922021354,40.08494147059709,50.0,-84.63764918643702,42.435,45.5075,48.58,37.645,35.9275,34.21
